"_id","chengyu"
"1","爱不释手"
"2","按部就班"
"3","百折不挠"
"4","半途而废"
"5","包罗万象"
"6","变本加厉"
"7","别出心裁"
"8","宾至如归"
"9","不可救药"
"10","不劳而获"
"11","不务正业"
"12","不省人事"
"13","不遗余力"
"14","不择手段"
"15","不自量力"
"16","长年累月"
"17","趁火打劫"
"18","愁眉不展"
"19","川流不息"
"20","唇亡齿寒"
"21","从容不迫"
"22","措手不及"
"23","打草惊蛇"
"24","大刀阔斧"
"25","大公无私"
"26","道听途说"
"27","得意忘形"
"28","对牛弹琴"
"29","发扬光大"
"30","奋不顾身"
"31","奉公守法"
"32","各有千秋"
"33","光明正大"
"34","海底捞针"
"35","好逸恶劳"
"36","和睦共处"
"37","狐假虎威"
"38","胡思乱想"
"39","胡作非为"
"40","花言巧语"
"41","画蛇添足"
"42","家喻户晓"
"43","见利忘义"
"44","津津有味"
"45","进退两难"
"46","井井有条"
"47","刻苦耐劳"
"48","口是心非"
"49","苦口婆心"
"50","理直气壮"
"51","力不从心"
"52","了如指掌"
"53","路不拾遗"
"54","落花流水"
"55","慢条斯理"
"56","面目全非"
"57","明目张胆"
"58","默守成规"
"59","普天同庆"
"60","千篇一律"
"61","情同手足"
"62","人云亦云"
"63","荣华富贵"
"64","三思而行"
"65","僧多粥少"
"66","舍己为人"
"67","事半功倍"
"68","视死如归"
"69","守望相助"
"70","守株待兔"
"71","熟能生巧"
"72","水落石出"
"73","似是而非"
"74","滔滔不绝"
"75","提心吊胆"
"76","同甘共苦"
"77","投机取巧"
"78","图劳无功"
"79","望尘莫及"
"80","忘恩负义"
"81","为非作歹"
"82","无微不至"
"83","相安无事"
"84","心灰意懒"
"85","兴高采烈"
"86","袖手旁观"
"87","鸦雀无声"
"88","言行一致"
"89","一败涂地"
"90","一帆风顺"
"91","一视同仁"
"92","一事无成"
"93","以卵击石"
"94","以身作则"
"95","易如反掌"
"96","饮水思源"
"97","迎刃而解"
"98","有勇无谋"
"99","执迷不悟"
"100","趾高气扬"
"101","纸上谈兵"
"102","志同道合"
"103","置之不理"
"104","装聋作哑"
"105","自暴自弃"
"106","自力更生"
"107","坐井观天"
"108","爱屋及鸟"
"109","百年树人"
"110","班门弄斧"
"111","标新立异"
"112","重蹈覆辙"
"113","德高望重"
"114","耳濡目染"
"115","风驰电掣"
"116","凤毛麟角"
"117","敷衍塞责"
"118","功亏一篑"
"119","画龙点睛"
"120","居安思危"
"121","开源节流"
"122","脍炙人口"
"123","明哲保身"
"124","潛移默化"
"125","束手无策"
"126","温故知新"
"127","信口开河"
"128","忠言逆耳"
"129","闭门造车"
"130","不耻下问"
"131","不攻自破"
"132","不可思议"
"133","不翼而飞"
"134","出类拔萃"
"135","吹毛求疵"
"136","垂涎三尺"
"137","从善如流"
"138","大言不惭"
"139","当机立断"
"140","得寸进尺"
"141","得过且过"
"142","废寝忘食"
"143","改过自新"
"144","高瞻远瞩"
"145","高枕无忧"
"146","隔岸观火"
"147","根深蒂固"
"148","钩心斗角"
"149","苟且偷安"
"150","孤陋寡闻"
"151","孤掌难鸣"
"152","孤注一掷"
"153","沽名钓誉"
"154","古色古香"
"155","拐弯抹角"
"156","含辛茹苦"
"157","好高务远"
"158","挥金如土"
"159","混水摸鱼"
"160","鸡犬不宁"
"161","集思广益"
"162","假公济私"
"163","见异思迁"
"164","见义勇为"
"165","捷足先登"
"166","精益求精"
"167","鞠躬尽瘁"
"168","举一反三"
"169","举足轻重"
"170","开门见山"
"171","慷慨解囊"
"172","滥竽充数"
"173","老马识途"
"174","励精图治"
"175","临渴掘井"
"176","流离失所"
"177","络绎不绝"
"178","满载而归"
"179","毛遂自荐"
"180","每况愈下"
"181","明知故犯"
"182","目中无人"
"183","弄巧反拙"
"184","破釜沉舟"
"185","杞人忧天"
"186","千钧一发"
"187","千载难逢"
"188","前车之鉴"
"189","强词夺理"
"190","青出于蓝"
"191","倾家荡产"
"192","人浮于事"
"193","任劳任怨"
"194","如火如荼"
"195","如释重负"
"196","杀鸡取卵"
"197","手不释卷"
"198","守口如瓶"
"199","水到渠成"
"200","顺手牵羊"
"201","司空见惯"
"202","随遇而安"
"203","挑拨离间"
"204","挺而走险"
"205","同归于尽"
"206","同流合污"
"207","同舟共济"
"208","推陈出新"
"209","未雨绸缪"
"210","无病呻吟"
"211","无动于衷"
"212","五体投地"
"213","息事宁人"
"214","相辅相成"
"215","心旷神怡"
"216","欣欣向荣"
"217","胸有成竹"
"218","栩栩如生"
"219","悬崖勒马"
"220","削足适履"
"221","寻根究底"
"222","循循善诱"
"223","雅俗共赏"
"224","养尊处优"
"225","摇摇欲坠"
"226","一见如故"
"227","一举两得"
"228","一蹶不振"
"229","一劳永逸"
"230","一落千丈"
"231","一毛不拔"
"232","一目了然"
"233","一暴十寒"
"234","一网打尽"
"235","一意孤行"
"236","一针见血"
"237","一知半解"
"238","以牙还牙"
"239","异想天开"
"240","应接不暇"
"241","优柔寡断"
"242","游手好闲"
"243","有目共睹"
"244","与日俱增"
"245","再接再厉"
"246","蒸蒸日上"
"247","真知灼见"
"248","自投罗网"
"249","自相矛盾"
"250","坐享其成"
